Employee ID,Predicted Band,Confidence (%),Training Needed,Training Topics,Promotion Ready,PIP Required,PIP Goals,Retention Risk,Wellbeing Flag,Recommended Actions,Priority,HR Summary
EMP0010,Low,65.7,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (65.7% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0011,Low,62.0,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (62.0% confidence). PIP required.Retention risk: Medium.
EMP0011,Low,53.1,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (53.1% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0011,Low,88.3,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (88.3% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0011,Low,71.5,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (71.5% confidence). PIP required.Retention risk: Medium.
EMP0012,Medium,59.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (59.3% confidence). Retention risk: Low.
EMP0012,Medium,77.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (77.1% confidence). Retention risk: Low.
EMP0012,Low,86.8,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (86.8% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0012,Low,51.9,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (51.9% confidence). PIP required.Retention risk: Medium.
EMP0013,Medium,98.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (98.1% confidence). Retention risk: Low.
EMP0013,Medium,78.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (78.7% confidence). Retention risk: Low.
EMP0013,Medium,95.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.6% confidence). Retention risk: Low.
EMP0013,Medium,85.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (85.8% confidence). Retention risk: Low.
EMP0014,Medium,95.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.5% confidence). Retention risk: Low.
EMP0014,Medium,87.9,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (87.9% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0014,Medium,96.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.5% confidence). Retention risk: Low.
EMP0014,Medium,82.6,False,,False,False,,Low,True,🏥 Attendance (79%) is critically low — confidential wellbeing session recommended; 📈 Near High-performer threshold — consider stretch project assignment,Urgent,[Urgent] Medium performer (82.6% confidence). Retention risk: Low.
EMP0015,Medium,54.6,False,,False,False,,Low,True,🏥 Attendance (77%) is critically low — confidential wellbeing session recommended; 📈 Near High-performer threshold — consider stretch project assignment,Urgent,[Urgent] Medium performer (54.6% confidence). Retention risk: Low.
EMP0015,Medium,96.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.5% confidence). Retention risk: Low.
EMP0015,Medium,58.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (58.7% confidence). Retention risk: Low.
EMP0015,Medium,97.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.0% confidence). Retention risk: Low.
EMP0016,Medium,71.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (71.4% confidence). Retention risk: Low.
EMP0016,Medium,88.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (88.2% confidence). Retention risk: Low.
EMP0016,Low,65.7,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (65.7% confidence). PIP required.Retention risk: Medium.
EMP0016,Medium,90.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (90.3% confidence). Retention risk: Low.
EMP0017,Medium,67.3,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (67.3% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0017,Medium,80.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (80.5% confidence). Retention risk: Low.
EMP0017,Medium,74.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (74.8% confidence). Retention risk: Low.
EMP0017,Medium,63.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (63.4% confidence). Retention risk: Low.
EMP0018,Medium,70.7,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (70.7% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0018,Medium,86.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (86.4% confidence). Retention risk: Low.
EMP0018,Medium,85.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (85.4% confidence). Retention risk: Low.
EMP0018,Medium,91.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (91.2% confidence). Retention risk: Low.
EMP0019,Medium,68.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (68.7% confidence). Retention risk: Low.
EMP0019,Medium,77.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (77.5% confidence). Retention risk: Low.
EMP0019,Medium,67.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (67.3% confidence). Retention risk: Low.
EMP0019,Medium,84.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (84.0% confidence). Retention risk: Low.
EMP0020,Medium,94.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (94.4% confidence). Retention risk: Low.
EMP0020,Medium,96.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.1% confidence). Retention risk: Low.
EMP0020,Medium,89.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (89.8% confidence). Retention risk: Low.
EMP0020,Medium,88.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (88.1% confidence). Retention risk: Low.
EMP0021,Low,64.2,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (64.2% confidence). PIP required.Retention risk: Medium.
EMP0021,Medium,79.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (79.4% confidence). Retention risk: Low.
EMP0021,Medium,80.8,False,,False,False,,Low,True,🏥 Attendance (80%) is critically low — confidential wellbeing session recommended; 📈 Near High-performer threshold — consider stretch project assignment,Urgent,[Urgent] Medium performer (80.8% confidence). Retention risk: Low.
EMP0021,Medium,93.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (93.4% confidence). Retention risk: Low.
EMP0022,Medium,96.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.1% confidence). Retention risk: Low.
EMP0022,Medium,72.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (72.3% confidence). Retention risk: Low.
EMP0022,Medium,97.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.6% confidence). Retention risk: Low.
EMP0022,Medium,89.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (89.8% confidence). Retention risk: Low.
EMP0023,Medium,61.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (61.4% confidence). Retention risk: Low.
EMP0023,Medium,69.7,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (69.7% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0023,Low,51.7,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (51.7% confidence). PIP required.Retention risk: Medium.
EMP0023,Medium,76.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (76.8% confidence). Retention risk: Low.
EMP0024,Medium,92.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (92.5% confidence). Retention risk: Low.
EMP0024,Medium,96.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.6% confidence). Retention risk: Low.
EMP0024,Medium,66.9,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (66.9% confidence). Retention risk: Low.
EMP0024,Medium,80.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (80.5% confidence). Retention risk: Low.
EMP0025,Medium,92.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (92.5% confidence). Retention risk: Low.
EMP0025,Medium,87.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (87.2% confidence). Retention risk: Low.
EMP0025,Medium,80.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (80.5% confidence). Retention risk: Low.
EMP0025,Medium,93.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (93.6% confidence). Retention risk: Low.
EMP0026,Medium,90.9,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (90.9% confidence). Retention risk: Low.
EMP0026,Low,58.4,True,Collaboration and communication skills training,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (58.4% confidence). Training: Collaboration and communication skills training. PIP required.Retention risk: Medium.
EMP0026,Medium,82.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (82.6% confidence). Retention risk: Low.
EMP0026,Medium,95.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.7% confidence). Retention risk: Low.
EMP0027,Medium,84.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (84.7% confidence). Retention risk: Low.
EMP0027,Medium,93.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (93.6% confidence). Retention risk: Low.
EMP0027,Medium,85.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (85.6% confidence). Retention risk: Low.
EMP0027,Medium,97.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.7% confidence). Retention risk: Low.
EMP0028,Medium,82.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (82.7% confidence). Retention risk: Low.
EMP0028,Medium,97.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.8% confidence). Retention risk: Low.
EMP0028,Medium,77.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (77.8% confidence). Retention risk: Low.
EMP0028,Medium,97.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.8% confidence). Retention risk: Low.
EMP0029,Low,73.6,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (73.6% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0029,Low,70.1,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (70.1% confidence). PIP required.Retention risk: Medium.
EMP0029,Medium,92.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (92.4% confidence). Retention risk: Low.
EMP0029,Medium,82.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (82.3% confidence). Retention risk: Low.
EMP0030,Low,54.9,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (54.9% confidence). PIP required.Retention risk: Medium.
EMP0030,Medium,59.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (59.1% confidence). Retention risk: Low.
EMP0030,Low,76.8,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (76.8% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0030,Medium,54.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (54.0% confidence). Retention risk: Low.
EMP0031,Low,56.2,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (56.2% confidence). PIP required.Retention risk: Medium.
EMP0031,Medium,90.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (90.1% confidence). Retention risk: Low.
EMP0031,Medium,56.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (56.6% confidence). Retention risk: Low.
EMP0031,Medium,96.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.6% confidence). Retention risk: Low.
EMP0032,Low,68.0,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (68.0% confidence). PIP required.Retention risk: Medium.
EMP0032,Medium,60.2,False,,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Normal,[Normal] Medium performer (60.2% confidence). Retention risk: Low.
EMP0032,Low,57.1,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (57.1% confidence). PIP required.Retention risk: Medium.
EMP0032,Low,64.1,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (64.1% confidence). PIP required.Retention risk: Medium.
EMP0033,Medium,67.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (67.8% confidence). Retention risk: Low.
EMP0033,Medium,74.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (74.2% confidence). Retention risk: Low.
EMP0033,Medium,81.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (81.4% confidence). Retention risk: Low.
EMP0033,Low,85.9,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (85.9% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0034,Medium,79.3,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (79.3% confidence). Retention risk: Low.
EMP0034,Medium,90.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (90.8% confidence). Retention risk: Low.
EMP0034,Medium,80.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (80.0% confidence). Retention risk: Low.
EMP0034,Medium,72.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (72.2% confidence). Retention risk: Low.
EMP0035,Medium,95.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.0% confidence). Retention risk: Low.
